11:29:57.821 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
11:30:16.010 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
11:30:18.809 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
11:30:20.549 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
11:30:21.126 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
11:30:23.454 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
11:30:23.493 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
11:30:23.556 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
11:30:23.575 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
11:30:23.609 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
11:57:25.293 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
12:03:02.846 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
12:03:56.064 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
12:04:05.287 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
12:04:13.218 WebServerMain.java [Class: g53sqm.jibble.WebServerMain; Method: main; Line: 43] INFO  --> Log Information
